VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-07 14:58:14,2015-01-07 15:11:26,1,2.32,-73.9579162598,40.7850570679,1,N,-73.9842758179,40.7701301575,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8
2,2015-01-07 14:58:14,2015-01-07 15:25:01,1,3.4,-73.9738693237,40.7916412354,1,N,-73.9455184937,40.818031311,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3
2,2015-01-07 14:58:14,2015-01-07 15:06:56,1,1.56,-73.9609069824,40.7611618042,1,N,-73.9452285767,40.7742195129,1,8.0,0.0,0.5,0.7,0.0,0.3,9.5
1,2015-01-15 09:46:59,2015-01-15 09:57:44,1,3.1,-74.0113830566,40.7134895325,1,N,-73.9955444336,40.7492294312,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
1,2015-01-15 09:46:59,2015-01-15 09:56:44,1,0.8,-73.9970169067,40.7423210144,1,N,-73.987701416,40.7354049683,1,7.5,0.0,0.5,1.0,0.0,0.3,9.3
1,2015-01-15 09:46:59,2015-01-15 10:27:34,1,9.5,-73.8729705811,40.7740325928,1,N,-74.0001068115,40.7193374634,2,34.0,0.0,0.5,0.0,0.0,0.3,34.8
1,2015-01-15 09:47:00,2015-01-15 10:00:07,1,1.0,0.0,0.0,1,N,0.0,0.0,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8
1,2015-01-15 09:47:00,2015-01-15 09:50:43,1,0.4,-74.0022125244,40.7294921875,1,N,-73.9969100952,40.7251434326,1,4.5,0.0,0.5,1.0,0.0,0.3,6.3
1,2015-01-15 09:47:02,2015-01-15 10:17:47,3,8.3,0.0,0.0,1,N,0.0,0.0,1,27.5,0.0,0.5,10.0,5.33,0.3,43.63
1,2015-01-15 09:47:02,2015-01-15 10:01:48,1,1.1,-73.9657363892,40.7954216003,1,N,-73.9526290894,40.7893447876,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8
1,2015-01-15 09:47:02,2015-01-15 10:14:12,2,2.2,-74.0069580078,40.7300033569,1,N,-73.9856185913,40.7528800964,1,16.5,0.0,0.5,3.46,0.0,0.3,20.76
